version,Regularizer,cluster key,cluster set,cluster dhn,cluster nodes,cluster size,cluster type,cut ratio,is inverted flux,ML input features,ML output features,mae,best_loss
1,0,a,1,1,"[15, 23]",2,1-0,0.5,0,3,0,0.03208100293487318,0.0081594567745924
5,1,a,1,1,"[15, 23]",2,1-0,0.5,0,3,0,0.043420255655298536,0.015311644412577152
1,0,a_prime,1,1,"[56, 45, 46]",3,1-0,0.3333333333333333,0,4,0,0.010651180469580352,0.0034576482139527798
5,1,a_prime,1,1,"[56, 45, 46]",3,1-0,0.3333333333333333,0,4,0,0.020500932695457913,0.011494932696223259
1,0,a_prime_2,1,1,"[26, 27, 42]",3,1-0,0.3333333333333333,0,4,0,0.029276725334134793,0.007998529821634293
5,1,a_prime_2,1,1,"[26, 27, 42]",3,1-0,0.3333333333333333,0,4,0,0.043444119566445824,0.01649395562708378
1,0,b,1,1,"[43, 65, 58, 59]",4,1-0,0.25,0,5,0,0.009841185667669923,0.003406461561098695
5,1,b,1,1,"[43, 65, 58, 59]",4,1-0,0.25,0,5,0,0.019012376506773662,0.010663534514605999
1,0,c,1,1,"[41, 27, 42, 26, 2, 3, 5, 4, 35]",9,1-0,0.1111111111111111,0,10,0,0.014300653651829878,0.004334138240665197
5,1,c,1,1,"[41, 27, 42, 26, 2, 3, 5, 4, 35]",9,1-0,0.1111111111111111,0,10,0,0.025791158917933904,0.012347369454801083
1,0,d,1,1,"[65, 43, 58, 59, 25, 24, 52, 14, 51]",9,1-0,0.1111111111111111,0,10,0,0.016560535743805282,0.0044281333684921265
5,1,d,1,1,"[65, 43, 58, 59, 25, 24, 52, 14, 51]",9,1-0,0.1111111111111111,0,10,0,0.029612887093669903,0.012461807578802109
1,0,e,1,1,"[41, 27, 42, 26, 2, 3, 5, 4, 35, 28, 29, 53]",12,1-0,0.08333333333333333,0,13,0,0.016631519426790586,0.005082201678305864
5,1,e,1,1,"[41, 27, 42, 26, 2, 3, 5, 4, 35, 28, 29, 53]",12,1-0,0.08333333333333333,0,13,0,0.028090250786109515,0.013443090952932835
1,0,f,1,1,"[41, 27, 42, 26, 2, 3, 5, 4, 35, 28, 29, 53, 65, 43, 58, 59, 25, 24, 52, 14, 51, 13, 15, 23, 54, 55, 34]",27,1-0,0.037037037037037035,0,28,0,0.016705013189862745,0.004556272178888321
5,1,f,1,1,"[41, 27, 42, 26, 2, 3, 5, 4, 35, 28, 29, 53, 65, 43, 58, 59, 25, 24, 52, 14, 51, 13, 15, 23, 54, 55, 34]",27,1-0,0.037037037037037035,0,28,0,0.028816107971889975,0.012633828446269035
1,0,g,1,1,"[55, 34]",2,1-1,1.0,0,3,1,0.015571962618031556,0.0023309735115617514
5,1,g,1,1,"[55, 34]",2,1-1,1.0,0,3,1,1.3653035040928556,0.37333163619041443
1,0,h,1,1,"[25, 24, 52, 14, 51]",5,1-1,0.4,0,6,1,0.06969436196867893,0.006884618196636438
5,1,h,1,1,"[25, 24, 52, 14, 51]",5,1-1,0.4,0,6,1,0.08842717527613299,0.012926395051181316
1,0,i,1,1,"[25, 24, 52, 14, 51, 13, 15, 23]",8,1-1,0.25,0,9,1,0.0751934076426881,0.007745037321001291
5,1,i,1,1,"[25, 24, 52, 14, 51, 13, 15, 23]",8,1-1,0.25,0,9,1,0.09554886865992643,0.014493959955871105
1,0,j,1,1,"[53, 29, 28]",3,1-1,0.6666666666666666,0,4,1,0.028603608433311375,0.003371936734765768
5,1,j,1,1,"[53, 29, 28]",3,1-1,0.6666666666666666,0,4,1,0.05175820049655232,0.010534471832215786
1,0,k,1,1,"[53, 29, 28, 41, 2, 3, 4, 5, 35]",9,1-1,0.2222222222222222,0,10,1,0.0425034886701309,0.00566895492374897
5,1,k,1,1,"[53, 29, 28, 41, 2, 3, 4, 5, 35]",9,1-1,0.2222222222222222,0,10,1,0.06558482526768267,0.01237917598336935
1,0,l,1,1,"[25, 24, 52, 14, 51, 13, 15, 23, 54, 43, 65, 58, 59]",13,1-1,0.15384615384615385,0,14,1,0.024931185706884518,0.0034935646690428257
5,1,l,1,1,"[25, 24, 52, 14, 51, 13, 15, 23, 54, 43, 65, 58, 59]",13,1-1,0.15384615384615385,0,14,1,2.6203505086777885,0.2212664633989334
1,0,m,1,1,"[53, 29, 28, 41, 2, 3, 4, 5, 35, 27, 42, 26, 54]",13,1-1,0.15384615384615385,0,14,1,0.019165688611018302,0.0030867515597492456
5,1,m,1,1,"[53, 29, 28, 41, 2, 3, 4, 5, 35, 27, 42, 26, 54]",13,1-1,0.15384615384615385,0,14,1,0.03576557330026116,0.009611641988158226
1,0,n,1,1,"[22, 17, 7]",3,2-1,1.0,1,5,1,0.12975242772261047,0.011417577043175697
5,1,n,1,1,"[22, 17, 7]",3,2-1,1.0,1,5,1,0.21095418411108138,0.021930312737822533
1,0,o,1,1,"[22, 17, 7, 18, 36, 38, 44, 62]",8,2-1,0.375,1,10,1,0.13623437687178697,0.011968537233769894
5,1,o,1,1,"[22, 17, 7, 18, 36, 38, 44, 62]",8,2-1,0.375,1,10,1,0.19359831113054138,0.020271392539143562
1,0,p,1,1,"[54, 55]",2,1-2,1.5,0,3,2,0.02594069605474197,0.0030448944307863712
5,1,p,1,1,"[54, 55]",2,1-2,1.5,0,3,2,0.046432547171488765,0.008370130322873592
1,0,q,1,1,"[54, 55, 13, 15, 23, 29, 53]",7,1-2,0.42857142857142855,0,8,2,0.030079800427473772,0.003670554142445326
5,1,q,1,1,"[54, 55, 13, 15, 23, 29, 53]",7,1-2,0.42857142857142855,0,8,2,0.05576968646061872,0.00980923417955637
1,0,r,1,1,"[25, 24, 52, 14, 51, 13, 15, 23, 54, 53, 29, 28]",12,1-2,0.25,0,13,2,0.064715612251963,0.005782718770205975
5,1,r,1,1,"[25, 24, 52, 14, 51, 13, 15, 23, 54, 53, 29, 28]",12,1-2,0.25,0,13,2,0.08959076877475165,0.011966568417847157
1,0,rx,1,1,"[65, 43, 25, 24, 52, 14, 51, 13, 15, 23, 54, 53, 29, 28, 41, 2, 3, 4, 5, 35]",20,1-2,0.15,0,21,2,0.08409599729925754,0.006782534532248974
5,1,rx,1,1,"[65, 43, 25, 24, 52, 14, 51, 13, 15, 23, 54, 53, 29, 28, 41, 2, 3, 4, 5, 35]",20,1-2,0.15,0,21,2,0.12404289057937613,0.014187653549015522
1,0,s,1,1,"[28, 41, 27, 2, 3, 4]",6,1-3,0.6666666666666666,0,7,3,0.0902582681353645,0.0064814952202141285
5,1,s,1,1,"[28, 41, 27, 2, 3, 4]",6,1-3,0.6666666666666666,0,7,3,0.1475089709136947,0.015592650510370731
1,0,v,1,1,"[28, 41, 27, 2, 3, 4, 29, 53]",8,1-3,0.5,0,9,3,0.09600521480710797,0.006858742795884609
5,1,v,1,1,"[28, 41, 27, 2, 3, 4, 29, 53]",8,1-3,0.5,0,9,3,0.7575664269698427,0.1932816505432129
1,0,x,1,1,"[6, 34, 55, 54]",4,1-3,1.0,1,5,3,0.07300550502337366,0.004809743724763393
5,1,x,1,1,"[6, 34, 55, 54]",4,1-3,1.0,1,5,3,0.1649998612495999,0.012659264728426933
1,0,w,1,1,"[54, 29, 53, 28, 41, 13, 15, 23, 14, 51, 52]",11,1-3,0.36363636363636365,0,12,3,0.05517729915618727,0.004995948635041714
5,1,w,1,1,"[54, 29, 53, 28, 41, 13, 15, 23, 14, 51, 52]",11,1-3,0.36363636363636365,0,12,3,0.08371597444908058,0.0111133037135005
1,0,z,1,1,"[54, 29, 53, 28, 41, 13, 15, 23, 14, 51, 52, 55, 34, 24, 25]",15,1-3,0.26666666666666666,0,16,3,0.07238789289661575,0.006073533091694117
5,1,z,1,1,"[54, 29, 53, 28, 41, 13, 15, 23, 14, 51, 52, 55, 34, 24, 25]",15,1-3,0.26666666666666666,0,16,3,0.10681905155070114,0.01274600438773632
1,0,0-c,2,1,"[14, 24, 25, 52]",4,1-2,0.75,0,5,2,0.058159809904439586,0.0054391296580433846
5,1,0-c,2,1,"[14, 24, 25, 52]",4,1-2,0.75,0,5,2,0.09122721426197912,0.012872446328401566
1,0,1-c,2,1,"[6, 8, 34, 45, 50, 56]",6,1-4,0.8333333333333334,1,7,4,0.08418965950681404,0.005296963267028332
5,1,1-c,2,1,"[6, 8, 34, 45, 50, 56]",6,1-4,0.8333333333333334,1,7,4,0.16614953808103686,0.013182492926716805
1,0,2-c,2,1,"[27, 41, 42]",3,2-1,1.0,1,5,1,0.07167705121625885,0.007656507659703493
5,1,2-c,2,1,"[27, 41, 42]",3,2-1,1.0,1,5,1,0.1686668940015132,0.01911678910255432
1,0,3-c,2,1,"[8, 50, 61, 64]",4,1-3,1.0,0,5,3,0.04120903449581017,0.003944599535316229
5,1,3-c,2,1,"[8, 50, 61, 64]",4,1-3,1.0,0,5,3,0.08506344305125274,0.011212123557925224
1,0,4-c,2,1,"[26, 27, 28, 29, 41, 42]",6,1-2,0.5,0,7,2,0.045426651044497994,0.00504568824544549
5,1,4-c,2,1,"[26, 27, 28, 29, 41, 42]",6,1-2,0.5,0,7,2,0.07974698768545045,0.012400120496749878
1,0,5-c,2,1,"[6, 8, 17, 22, 50]",5,2-4,1.2,0,7,4,0.05321483111004329,0.005835658870637417
5,1,5-c,2,1,"[6, 8, 17, 22, 50]",5,2-4,1.2,0,7,4,0.5174390835954564,0.13568603992462158
