version,BN,Regularizer,cluster key,cluster set,cluster dhn,cluster nodes,cluster size,cluster type,cut ratio,is inverted flux,ML input features,ML output features,mae,best_loss
10,0,1,a,1,1,"[15, 23]",2,1-0,0.5,0,3,0,0.04271826769088395,0.015898771584033966
10,0,1,a_prime,1,1,"[56, 45, 46]",3,1-0,0.3333333333333333,0,4,0,0.021986130687609802,0.010689236223697662
10,0,1,a_prime_2,1,1,"[26, 27, 42]",3,1-0,0.3333333333333333,0,4,0,0.04450960770580608,0.01703098975121975
10,0,1,b,1,1,"[43, 65, 58, 59]",4,1-0,0.25,0,5,0,0.01961407075041134,0.011212709359824657
8,0,0,c,1,1,"[41, 27, 42, 26, 2, 3, 5, 4, 35]",9,1-0,0.1111111111111111,0,10,0,0.013767959420080723,0.004161539487540722
10,0,1,c,1,1,"[41, 27, 42, 26, 2, 3, 5, 4, 35]",9,1-0,0.1111111111111111,0,10,0,0.027985860244355152,0.013557704165577888
8,0,0,d,1,1,"[65, 43, 58, 59, 25, 24, 52, 14, 51]",9,1-0,0.1111111111111111,0,10,0,0.015365694845103467,0.004095251671969891
10,0,1,d,1,1,"[65, 43, 58, 59, 25, 24, 52, 14, 51]",9,1-0,0.1111111111111111,0,10,0,0.029697033654529328,0.011823762208223343
10,0,1,e,1,1,"[41, 27, 42, 26, 2, 3, 5, 4, 35, 28, 29, 53]",12,1-0,0.08333333333333333,0,13,0,0.026803236492878822,0.013347732834517956
10,0,1,f,1,1,"[41, 27, 42, 26, 2, 3, 5, 4, 35, 28, 29, 53, 65, 43, 58, 59, 25, 24, 52, 14, 51, 13, 15, 23, 54, 55, 34]",27,1-0,0.037037037037037035,0,28,0,0.027235468032437423,0.012624761089682579
10,0,1,g,1,1,"[55, 34]",2,1-1,1.0,0,3,1,0.030801708479417923,0.00890329945832491
10,0,1,h,1,1,"[25, 24, 52, 14, 51]",5,1-1,0.4,0,6,1,0.08862804220855819,0.01367886457592249
10,0,1,i,1,1,"[25, 24, 52, 14, 51, 13, 15, 23]",8,1-1,0.25,0,9,1,0.09634499223226804,0.01528401393443346
10,0,1,j,1,1,"[53, 29, 28]",3,1-1,0.6666666666666666,0,4,1,0.05207351278068294,0.011175115592777729
10,0,1,k,1,1,"[53, 29, 28, 41, 2, 3, 4, 5, 35]",9,1-1,0.2222222222222222,0,10,1,0.07022221651992967,0.013784275390207767
10,0,1,l,1,1,"[25, 24, 52, 14, 51, 13, 15, 23, 54, 43, 65, 58, 59]",13,1-1,0.15384615384615385,0,14,1,0.03783156590814112,0.011266523040831089
8,0,0,m,1,1,"[53, 29, 28, 41, 2, 3, 4, 5, 35, 27, 42, 26, 54]",13,1-1,0.15384615384615385,0,14,1,0.01813196484550635,0.0028298282995820045
10,0,1,m,1,1,"[53, 29, 28, 41, 2, 3, 4, 5, 35, 27, 42, 26, 54]",13,1-1,0.15384615384615385,0,14,1,0.03900683545421744,0.01093324925750494
10,0,1,n,1,1,"[22, 17, 7]",3,2-1,1.0,1,5,1,0.21233521795993623,0.022837650030851364
10,0,1,o,1,1,"[22, 17, 7, 18, 36, 38, 44, 62]",8,2-1,0.375,1,10,1,0.21316138718917704,0.022392958402633667
8,0,0,p,1,1,"[54, 55]",2,1-2,1.5,0,3,2,0.023462419395578558,0.002781042130663991
10,0,1,p,1,1,"[54, 55]",2,1-2,1.5,0,3,2,0.04790126973115544,0.009780214168131351
10,0,1,q,1,1,"[54, 55, 13, 15, 23, 29, 53]",7,1-2,0.42857142857142855,0,8,2,0.056131134344923415,0.011062250472605228
10,0,1,r,1,1,"[25, 24, 52, 14, 51, 13, 15, 23, 54, 53, 29, 28]",12,1-2,0.25,0,13,2,0.08996966457640501,0.012969361618161201
10,0,1,rx,1,1,"[65, 43, 25, 24, 52, 14, 51, 13, 15, 23, 54, 53, 29, 28, 41, 2, 3, 4, 5, 35]",20,1-2,0.15,0,21,2,0.12664042388710045,0.015119004063308239
10,0,1,s,1,1,"[28, 41, 27, 2, 3, 4]",6,1-3,0.6666666666666666,0,7,3,0.14963025245723605,0.016287969425320625
8,0,0,v,1,1,"[28, 41, 27, 2, 3, 4, 29, 53]",8,1-3,0.5,0,9,3,0.09233649017873818,0.006670104339718819
10,0,1,v,1,1,"[28, 41, 27, 2, 3, 4, 29, 53]",8,1-3,0.5,0,9,3,0.15845848445788233,0.016698243096470833
10,0,1,x,1,1,"[6, 34, 55, 54]",4,1-3,1.0,1,5,3,0.1698322476373939,0.01435568556189537
8,0,0,w,1,1,"[54, 29, 53, 28, 41, 13, 15, 23, 14, 51, 52]",11,1-3,0.36363636363636365,0,12,3,0.05183768718630522,0.004704912658780813
10,0,1,w,1,1,"[54, 29, 53, 28, 41, 13, 15, 23, 14, 51, 52]",11,1-3,0.36363636363636365,0,12,3,0.08474028731299095,0.012494849041104317
8,0,0,z,1,1,"[54, 29, 53, 28, 41, 13, 15, 23, 14, 51, 52, 55, 34, 24, 25]",15,1-3,0.26666666666666666,0,16,3,0.06880953710934444,0.0056939395144581795
10,0,1,z,1,1,"[54, 29, 53, 28, 41, 13, 15, 23, 14, 51, 52, 55, 34, 24, 25]",15,1-3,0.26666666666666666,0,16,3,0.11066512824827551,0.013834538869559765
10,0,1,0-c,2,1,"[14, 24, 25, 52]",4,1-2,0.75,0,5,2,0.09025068368629173,0.013827294111251831
8,0,0,1-c,2,1,"[6, 8, 34, 45, 50, 56]",6,1-4,0.8333333333333334,1,7,4,0.07215042505127783,0.0046587479300796986
10,0,1,1-c,2,1,"[6, 8, 34, 45, 50, 56]",6,1-4,0.8333333333333334,1,7,4,0.1668079020372645,0.014221747405827045
8,0,0,2-c,2,1,"[27, 41, 42]",3,2-1,1.0,1,5,1,0.07468201105025107,0.007906882092356682
10,0,1,2-c,2,1,"[27, 41, 42]",3,2-1,1.0,1,5,1,0.17083351663704693,0.020440086722373962
8,0,0,3-c,2,1,"[8, 50, 61, 64]",4,1-3,1.0,0,5,3,0.039503599052722306,0.003799896687269211
10,0,1,3-c,2,1,"[8, 50, 61, 64]",4,1-3,1.0,0,5,3,0.08408452188968234,0.012554972432553768
10,0,1,4-c,2,1,"[26, 27, 28, 29, 41, 42]",6,1-2,0.5,0,7,2,0.07683385472899801,0.013321026228368282
10,0,1,5-c,2,1,"[6, 8, 17, 22, 50]",5,2-4,1.2,0,7,4,0.09896138087806072,0.014686817303299904
8,0,0,6-c,2,1,"[31, 36, 37, 40]",4,1-5,1.5,0,5,5,0.04562454597956231,0.0041303085163235664
10,0,1,6-c,2,1,"[31, 36, 37, 40]",4,1-5,1.5,0,5,5,0.08691815323196404,0.012797689065337181
8,0,0,7-c,2,1,"[36, 37, 38, 39, 40, 44, 47, 48, 69]",9,1-6,0.7777777777777778,0,10,6,0.1173206201288485,0.007579378318041563
10,0,1,7-c,2,1,"[36, 37, 38, 39, 40, 44, 47, 48, 69]",9,1-6,0.7777777777777778,0,10,6,0.22718480377109757,0.01935696415603161
10,0,1,8-c,2,1,"[47, 49]",2,1-1,1.0,0,3,1,0.06216530976069349,0.011375307105481625
8,0,0,9-c,2,1,"[12, 18, 19, 20, 30, 36, 37, 39, 40, 47, 48, 60, 69]",13,2-7,0.6923076923076923,1,15,7,0.2290403217663657,0.013234253972768784
10,0,1,9-c,2,1,"[12, 18, 19, 20, 30, 36, 37, 39, 40, 47, 48, 60, 69]",13,2-7,0.6923076923076923,1,15,7,0.3852630333511357,0.02674325555562973
