version,BN,Regularizer,cluster key,cluster set,cluster dhn,cluster nodes,cluster size,cluster type,cut ratio,is inverted flux,ML input features,ML output features,mae,best_loss
7,0,0,a,1,1,"[15, 23]",2,1-0,0.5,0,3,0,0.03807970192917269,0.009659186005592346
8,0,1,a,1,1,"[15, 23]",2,1-0,0.5,0,3,0,0.045789115130703356,0.014667951501905918
7,0,0,a_prime,1,1,"[56, 45, 46]",3,1-0,0.3333333333333333,0,4,0,0.02061099959188052,0.0066880094818770885
8,0,1,a_prime,1,1,"[56, 45, 46]",3,1-0,0.3333333333333333,0,4,0,0.032720313012600574,0.013454602099955082
7,0,0,a_prime_2,1,1,"[26, 27, 42]",3,1-0,0.3333333333333333,0,4,0,0.04455660314288146,0.012096705846488476
8,0,1,a_prime_2,1,1,"[26, 27, 42]",3,1-0,0.3333333333333333,0,4,0,0.05670360119121967,0.01902932859957218
7,0,0,b,1,1,"[43, 65, 58, 59]",4,1-0,0.25,0,5,0,0.025410012225811723,0.008774414658546448
8,0,1,b,1,1,"[43, 65, 58, 59]",4,1-0,0.25,0,5,0,0.03484093128020322,0.01585349440574646
7,0,0,c,1,1,"[41, 27, 42, 26, 2, 3, 5, 4, 35]",9,1-0,0.1111111111111111,0,10,0,0.024161044803159636,0.007278979755938053
8,0,1,c,1,1,"[41, 27, 42, 26, 2, 3, 5, 4, 35]",9,1-0,0.1111111111111111,0,10,0,0.033192486544832686,0.013487403281033039
7,0,0,d,1,1,"[65, 43, 58, 59, 25, 24, 52, 14, 51]",9,1-0,0.1111111111111111,0,10,0,0.03758834057725558,0.010091597214341164
8,0,1,d,1,1,"[65, 43, 58, 59, 25, 24, 52, 14, 51]",9,1-0,0.1111111111111111,0,10,0,0.048667942811593846,0.016977200284600258
7,0,0,e,1,1,"[41, 27, 42, 26, 2, 3, 5, 4, 35, 28, 29, 53]",12,1-0,0.08333333333333333,0,13,0,0.028744642075826936,0.008701602928340435
8,0,1,e,1,1,"[41, 27, 42, 26, 2, 3, 5, 4, 35, 28, 29, 53]",12,1-0,0.08333333333333333,0,13,0,0.03506669430256231,0.014329425990581512
7,0,0,f,1,1,"[41, 27, 42, 26, 2, 3, 5, 4, 35, 28, 29, 53, 65, 43, 58, 59, 25, 24, 52, 14, 51, 13, 15, 23, 54, 55, 34]",27,1-0,0.037037037037037035,0,28,0,0.029172244147910968,0.008015374653041363
8,0,1,f,1,1,"[41, 27, 42, 26, 2, 3, 5, 4, 35, 28, 29, 53, 65, 43, 58, 59, 25, 24, 52, 14, 51, 13, 15, 23, 54, 55, 34]",27,1-0,0.037037037037037035,0,28,0,0.036504548047447946,0.013503937982022762
7,0,0,g,1,1,"[55, 34]",2,1-1,1.0,0,3,1,0.06621903539480004,0.009417361579835415
8,0,1,g,1,1,"[55, 34]",2,1-1,1.0,0,3,1,0.07820798323872462,0.015546143986284733
7,0,0,h,1,1,"[25, 24, 52, 14, 51]",5,1-1,0.4,0,6,1,0.0840471478091446,0.009725576266646385
8,0,1,h,1,1,"[25, 24, 52, 14, 51]",5,1-1,0.4,0,6,1,0.09774628939128462,0.016081592068076134
7,0,0,i,1,1,"[25, 24, 52, 14, 51, 13, 15, 23]",8,1-1,0.25,0,9,1,0.08491405977509688,0.009439622052013874
8,0,1,i,1,1,"[25, 24, 52, 14, 51, 13, 15, 23]",8,1-1,0.25,0,9,1,0.09783136868014138,0.01526944525539875
7,0,0,j,1,1,"[53, 29, 28]",3,1-1,0.6666666666666666,0,4,1,0.054990370212522566,0.007668467238545418
8,0,1,j,1,1,"[53, 29, 28]",3,1-1,0.6666666666666666,0,4,1,0.06613497073016768,0.014088434167206287
7,0,0,k,1,1,"[53, 29, 28, 41, 2, 3, 4, 5, 35]",9,1-1,0.2222222222222222,0,10,1,0.054223305147798335,0.007561447564512491
8,0,1,k,1,1,"[53, 29, 28, 41, 2, 3, 4, 5, 35]",9,1-1,0.2222222222222222,0,10,1,0.06637791502508177,0.013692166656255722
7,0,0,l,1,1,"[25, 24, 52, 14, 51, 13, 15, 23, 54, 43, 65, 58, 59]",13,1-1,0.15384615384615385,0,14,1,0.05966115210992293,0.0079667828977108
8,0,1,l,1,1,"[25, 24, 52, 14, 51, 13, 15, 23, 54, 43, 65, 58, 59]",13,1-1,0.15384615384615385,0,14,1,0.07172547843546162,0.0137111721560359
7,0,0,m,1,1,"[53, 29, 28, 41, 2, 3, 4, 5, 35, 27, 42, 26, 54]",13,1-1,0.15384615384615385,0,14,1,0.05714651103142733,0.007449538446962833
8,0,1,m,1,1,"[53, 29, 28, 41, 2, 3, 4, 5, 35, 27, 42, 26, 54]",13,1-1,0.15384615384615385,0,14,1,0.06417071442833812,0.012854301370680332
7,0,0,n,1,1,"[22, 17, 7]",3,2-1,1.0,1,5,1,0.1548485524052748,0.013590381480753422
8,0,1,n,1,1,"[22, 17, 7]",3,2-1,1.0,1,5,1,0.20027355684768414,0.02091181091964245
7,0,0,o,1,1,"[22, 17, 7, 18, 36, 38, 44, 62]",8,2-1,0.375,1,10,1,0.1465458628881138,0.01300645899027586
8,0,1,o,1,1,"[22, 17, 7, 18, 36, 38, 44, 62]",8,2-1,0.375,1,10,1,0.19009295578133148,0.019788624718785286
7,0,0,p,1,1,"[54, 55]",2,1-2,1.5,0,3,2,0.0584334283671654,0.006773571949452162
8,0,1,p,1,1,"[54, 55]",2,1-2,1.5,0,3,2,0.0723016060576907,0.013148345053195953
7,0,0,q,1,1,"[54, 55, 13, 15, 23, 29, 53]",7,1-2,0.42857142857142855,0,8,2,0.055481956239149505,0.0063537722453475
