version,Regularizer,cluster key,cluster set,cluster dhn,cluster nodes,cluster size,cluster type,cut ratio,is inverted flux,ML input features,ML output features,mae,best_loss
10,0,a,1,1,"[15, 23]",2,1-0,0.5,0,3,0,0.03243259939616258,0.008222995325922966
11,1,a,1,1,"[15, 23]",2,1-0,0.5,0,3,0,0.036702678803886994,0.011600152589380741
10,0,a_prime,1,1,"[56, 45, 46]",3,1-0,0.3333333333333333,0,4,0,0.010706207482913814,0.0034428955987095833
11,1,a_prime,1,1,"[56, 45, 46]",3,1-0,0.3333333333333333,0,4,0,0.013960706337387607,0.007777105551213026
10,0,a_prime_2,1,1,"[26, 27, 42]",3,1-0,0.3333333333333333,0,4,0,0.030319100734542054,0.008353548124432564
11,1,a_prime_2,1,1,"[26, 27, 42]",3,1-0,0.3333333333333333,0,4,0,0.036469894802928,0.012937169522047043
10,0,b,1,1,"[43, 65, 58, 59]",4,1-0,0.25,0,5,0,0.011026432534853896,0.0037754762452095747
11,1,b,1,1,"[43, 65, 58, 59]",4,1-0,0.25,0,5,0,0.016142980208812694,0.009560490027070045
10,0,c,1,1,"[41, 27, 42, 26, 2, 3, 5, 4, 35]",9,1-0,0.1111111111111111,0,10,0,0.015305175430349677,0.004581156186759472
11,1,c,1,1,"[41, 27, 42, 26, 2, 3, 5, 4, 35]",9,1-0,0.1111111111111111,0,10,0,0.02001355469384801,0.00972910039126873
10,0,d,1,1,"[65, 43, 58, 59, 25, 24, 52, 14, 51]",9,1-0,0.1111111111111111,0,10,0,0.015549162131278636,0.004111415706574917
11,1,d,1,1,"[65, 43, 58, 59, 25, 24, 52, 14, 51]",9,1-0,0.1111111111111111,0,10,0,0.02122498605458569,0.00827991683036089
10,0,e,1,1,"[41, 27, 42, 26, 2, 3, 5, 4, 35, 28, 29, 53]",12,1-0,0.08333333333333333,0,13,0,0.016054305961033903,0.004845574963837862
11,1,e,1,1,"[41, 27, 42, 26, 2, 3, 5, 4, 35, 28, 29, 53]",12,1-0,0.08333333333333333,0,13,0,0.02211427861808923,0.01026560552418232
10,0,f,1,1,"[41, 27, 42, 26, 2, 3, 5, 4, 35, 28, 29, 53, 65, 43, 58, 59, 25, 24, 52, 14, 51, 13, 15, 23, 54, 55, 34]",27,1-0,0.037037037037037035,0,28,0,0.016497504242254424,0.004507882986217737
11,1,f,1,1,"[41, 27, 42, 26, 2, 3, 5, 4, 35, 28, 29, 53, 65, 43, 58, 59, 25, 24, 52, 14, 51, 13, 15, 23, 54, 55, 34]",27,1-0,0.037037037037037035,0,28,0,0.023341122024281943,0.009643332101404667
10,0,g,1,1,"[55, 34]",2,1-1,1.0,0,3,1,0.01972400255279291,0.002925432752817869
11,1,g,1,1,"[55, 34]",2,1-1,1.0,0,3,1,0.025241908517641305,0.006194284185767174
10,0,h,1,1,"[25, 24, 52, 14, 51]",5,1-1,0.4,0,6,1,0.06691754686231452,0.00662695849314332
11,1,h,1,1,"[25, 24, 52, 14, 51]",5,1-1,0.4,0,6,1,0.07640806918127739,0.011179315857589245
10,0,i,1,1,"[25, 24, 52, 14, 51, 13, 15, 23]",8,1-1,0.25,0,9,1,0.07245977579707652,0.007477170787751675
11,1,i,1,1,"[25, 24, 52, 14, 51, 13, 15, 23]",8,1-1,0.25,0,9,1,0.08304139864031153,0.01238588709384203
10,0,j,1,1,"[53, 29, 28]",3,1-1,0.6666666666666666,0,4,1,0.027266567098073253,0.0032965214923024178
11,1,j,1,1,"[53, 29, 28]",3,1-1,0.6666666666666666,0,4,1,0.03488725993355502,0.007868449203670025
10,0,k,1,1,"[53, 29, 28, 41, 2, 3, 4, 5, 35]",9,1-1,0.2222222222222222,0,10,1,0.039693283102710475,0.005214226432144642
11,1,k,1,1,"[53, 29, 28, 41, 2, 3, 4, 5, 35]",9,1-1,0.2222222222222222,0,10,1,0.048503029439420725,0.010546935722231865
10,0,l,1,1,"[25, 24, 52, 14, 51, 13, 15, 23, 54, 43, 65, 58, 59]",13,1-1,0.15384615384615385,0,14,1,0.022306899485687967,0.0032607356552034616
11,1,l,1,1,"[25, 24, 52, 14, 51, 13, 15, 23, 54, 43, 65, 58, 59]",13,1-1,0.15384615384615385,0,14,1,0.02800634545863137,0.008531992323696613
10,0,m,1,1,"[53, 29, 28, 41, 2, 3, 4, 5, 35, 27, 42, 26, 54]",13,1-1,0.15384615384615385,0,14,1,0.02193639993164261,0.003222848055884242
11,1,m,1,1,"[53, 29, 28, 41, 2, 3, 4, 5, 35, 27, 42, 26, 54]",13,1-1,0.15384615384615385,0,14,1,0.027854215688303083,0.007687402423471212
10,0,n,1,1,"[22, 17, 7]",3,2-1,1.0,1,5,1,0.13307502387792852,0.011624045670032501
11,1,n,1,1,"[22, 17, 7]",3,2-1,1.0,1,5,1,0.19759632990440348,0.019613975659012794
10,0,o,1,1,"[22, 17, 7, 18, 36, 38, 44, 62]",8,2-1,0.375,1,10,1,0.13477425919535357,0.011843991465866566
11,1,o,1,1,"[22, 17, 7, 18, 36, 38, 44, 62]",8,2-1,0.375,1,10,1,0.18254676833863157,0.018309980630874634
10,0,p,1,1,"[54, 55]",2,1-2,1.5,0,3,2,0.027210885059951676,0.003125095274299383
11,1,p,1,1,"[54, 55]",2,1-2,1.5,0,3,2,0.036707366161676865,0.007490665186196566
10,0,q,1,1,"[54, 55, 13, 15, 23, 29, 53]",7,1-2,0.42857142857142855,0,8,2,0.03208478751386209,0.0037765649612993
11,1,q,1,1,"[54, 55, 13, 15, 23, 29, 53]",7,1-2,0.42857142857142855,0,8,2,0.04090794067751977,0.008577486500144005
10,0,r,1,1,"[25, 24, 52, 14, 51, 13, 15, 23, 54, 53, 29, 28]",12,1-2,0.25,0,13,2,0.060482246984497424,0.0053909290581941605
11,1,r,1,1,"[25, 24, 52, 14, 51, 13, 15, 23, 54, 53, 29, 28]",12,1-2,0.25,0,13,2,0.0733354469707018,0.010372040793299675
10,0,rx,1,1,"[65, 43, 25, 24, 52, 14, 51, 13, 15, 23, 54, 53, 29, 28, 41, 2, 3, 4, 5, 35]",20,1-2,0.15,0,21,2,0.0834381224764778,0.00660980399698019
11,1,rx,1,1,"[65, 43, 25, 24, 52, 14, 51, 13, 15, 23, 54, 53, 29, 28, 41, 2, 3, 4, 5, 35]",20,1-2,0.15,0,21,2,0.09618380208180725,0.011486062780022621
10,0,s,1,1,"[28, 41, 27, 2, 3, 4]",6,1-3,0.6666666666666666,0,7,3,0.09101575558110744,0.006429822649806738
11,1,s,1,1,"[28, 41, 27, 2, 3, 4]",6,1-3,0.6666666666666666,0,7,3,0.10288223159027937,0.012035670690238476
10,0,v,1,1,"[28, 41, 27, 2, 3, 4, 29, 53]",8,1-3,0.5,0,9,3,0.09188805366955452,0.006492574233561754
11,1,v,1,1,"[28, 41, 27, 2, 3, 4, 29, 53]",8,1-3,0.5,0,9,3,0.11123654184653982,0.012364266440272331
10,0,x,1,1,"[6, 34, 55, 54]",4,1-3,1.0,1,5,3,0.07408545221174927,0.004837339743971825
11,1,x,1,1,"[6, 34, 55, 54]",4,1-3,1.0,1,5,3,0.14497389044173534,0.011943941004574299
10,0,w,1,1,"[54, 29, 53, 28, 41, 13, 15, 23, 14, 51, 52]",11,1-3,0.36363636363636365,0,12,3,0.05261436659053402,0.004729933105409145
11,1,w,1,1,"[54, 29, 53, 28, 41, 13, 15, 23, 14, 51, 52]",11,1-3,0.36363636363636365,0,12,3,0.0621944759883426,0.009185299277305603
10,0,z,1,1,"[54, 29, 53, 28, 41, 13, 15, 23, 14, 51, 52, 55, 34, 24, 25]",15,1-3,0.26666666666666666,0,16,3,0.06875935805307248,0.005784553475677967
11,1,z,1,1,"[54, 29, 53, 28, 41, 13, 15, 23, 14, 51, 52, 55, 34, 24, 25]",15,1-3,0.26666666666666666,0,16,3,0.08275595182540335,0.01051200833171606
10,0,0-c,2,1,"[14, 24, 25, 52]",4,1-2,0.75,0,5,2,0.05715926555802216,0.005282679572701454
11,1,0-c,2,1,"[14, 24, 25, 52]",4,1-2,0.75,0,5,2,0.07170939258856428,0.00996618252247572
10,0,1-c,2,1,"[6, 8, 34, 45, 50, 56]",6,1-4,0.8333333333333334,1,7,4,0.088016928023477,0.005528165027499199
11,1,1-c,2,1,"[6, 8, 34, 45, 50, 56]",6,1-4,0.8333333333333334,1,7,4,0.14537613029990418,0.01229029893875122
10,0,2-c,2,1,"[27, 41, 42]",3,2-1,1.0,1,5,1,0.07860812372191889,0.008237465284764767
11,1,2-c,2,1,"[27, 41, 42]",3,2-1,1.0,1,5,1,0.16025747706021487,0.01858566515147686
10,0,3-c,2,1,"[8, 50, 61, 64]",4,1-3,1.0,0,5,3,0.04093469678703148,0.003971200902014971
11,1,3-c,2,1,"[8, 50, 61, 64]",4,1-3,1.0,0,5,3,0.055160510330874706,0.009024035185575485
10,0,4-c,2,1,"[26, 27, 28, 29, 41, 42]",6,1-2,0.5,0,7,2,0.03984069137596871,0.00438762316480279
11,1,4-c,2,1,"[26, 27, 28, 29, 41, 42]",6,1-2,0.5,0,7,2,0.05106031435851614,0.009365709498524666
10,0,5-c,2,1,"[6, 8, 17, 22, 50]",5,2-4,1.2,0,7,4,0.056389985210572875,0.006188884377479553
11,1,5-c,2,1,"[6, 8, 17, 22, 50]",5,2-4,1.2,0,7,4,0.07127081129833233,0.011463258415460587
10,0,6-c,2,1,"[31, 36, 37, 40]",4,1-5,1.5,0,5,5,0.05089960287853086,0.00456100283190608
11,1,6-c,2,1,"[31, 36, 37, 40]",4,1-5,1.5,0,5,5,0.06438159924916306,0.009868530556559563
10,0,7-c,2,1,"[36, 37, 38, 39, 40, 44, 47, 48, 69]",9,1-6,0.7777777777777778,0,10,6,0.12296195578031907,0.0078867943957448
11,1,7-c,2,1,"[36, 37, 38, 39, 40, 44, 47, 48, 69]",9,1-6,0.7777777777777778,0,10,6,0.14212392080158337,0.01332247443497181
10,0,8-c,2,1,"[47, 49]",2,1-1,1.0,0,3,1,0.03765933695060567,0.0038601416163146496
11,1,8-c,2,1,"[47, 49]",2,1-1,1.0,0,3,1,0.04858601378851952,0.008773940615355968
10,0,9-c,2,1,"[12, 18, 19, 20, 30, 36, 37, 39, 40, 47, 48, 60, 69]",13,2-7,0.6923076923076923,1,15,7,0.23066922030386092,0.013287460431456566
11,1,9-c,2,1,"[12, 18, 19, 20, 30, 36, 37, 39, 40, 47, 48, 60, 69]",13,2-7,0.6923076923076923,1,15,7,0.2580173016867021,0.019141031429171562
10,0,10-c,2,1,"[19, 20, 69, 70]",4,1-2,0.75,0,5,2,0.08525255721072042,0.006482989992946386
11,1,10-c,2,1,"[19, 20, 69, 70]",4,1-2,0.75,0,5,2,0.1046954259212054,0.012222252786159515
10,0,11-c,2,1,"[36, 38, 44, 62]",4,1-1,0.5,0,5,1,0.02969704271754757,0.0035683978348970413
11,1,11-c,2,1,"[36, 38, 44, 62]",4,1-1,0.5,0,5,1,0.036342684752972115,0.008727035485208035
10,0,13-c,2,1,"[9, 11, 16]",3,1-2,1.0,1,4,2,0.7078794761835153,0.02751287817955017
11,1,13-c,2,1,"[9, 11, 16]",3,1-2,1.0,1,4,2,0.7703571368594434,0.03307889401912689
10,0,14-c,2,1,"[33, 67, 68]",3,1-1,0.6666666666666666,0,4,1,0.0520700592938557,0.00534010399132967
11,1,14-c,2,1,"[33, 67, 68]",3,1-1,0.6666666666666666,0,4,1,0.06685833433192864,0.011448124423623085
10,0,15-c,2,1,"[6, 8, 29, 34, 50, 53, 54, 55]",8,1-5,0.75,1,9,5,0.09039113207518101,0.00615129666402936
11,1,15-c,2,1,"[6, 8, 29, 34, 50, 53, 54, 55]",8,1-5,0.75,1,9,5,0.12545092016270762,0.011464089155197144
10,0,16-c,2,1,"[31, 33, 39, 40, 47, 48]",6,1-6,1.1666666666666667,0,7,6,0.07840805968325783,0.00545963691547513
11,1,16-c,2,1,"[31, 33, 39, 40, 47, 48]",6,1-6,1.1666666666666667,0,7,6,0.0939757066272096,0.011080618016421795
10,0,17-c,2,1,"[6, 7, 8, 22, 50, 56]",6,2-4,1.0,0,8,4,0.08859084325748376,0.008058831095695496
11,1,17-c,2,1,"[6, 7, 8, 22, 50, 56]",6,2-4,1.0,0,8,4,0.09680262565078541,0.012925860472023487
10,0,18-c,2,1,"[7, 11, 12, 16, 17, 19, 20, 22, 30, 60, 69]",11,3-4,0.6363636363636364,1,14,4,0.2232636857267599,0.016770014539361
11,1,18-c,2,1,"[7, 11, 12, 16, 17, 19, 20, 22, 30, 60, 69]",11,3-4,0.6363636363636364,1,14,4,0.2478873264726046,0.022259995341300964
10,0,19-c,2,1,"[2, 3, 5, 27, 41, 42]",6,2-1,0.5,1,8,1,0.11001507905845642,0.00984005443751812
11,1,19-c,2,1,"[2, 3, 5, 27, 41, 42]",6,2-1,0.5,1,8,1,0.19117769265876647,0.020306825637817383
10,0,20-c,2,1,"[17, 18, 31, 36, 37, 40]",6,1-5,1.0,0,7,5,0.06151712072843825,0.005351221654564142
11,1,20-c,2,1,"[17, 18, 31, 36, 37, 40]",6,1-5,1.0,0,7,5,0.07618221604366233,0.01118557434529066
10,0,21-c,2,1,"[6, 29, 34, 53, 54, 55]",6,1-3,0.6666666666666666,1,7,3,0.08776558565867298,0.005390710663050413
11,1,21-c,2,1,"[6, 29, 34, 53, 54, 55]",6,1-3,0.6666666666666666,1,7,3,0.14695046090236388,0.012104385532438755
10,0,22-c,2,1,"[6, 7, 11, 12, 16, 19, 20, 22, 30, 60, 69, 70]",12,3-4,0.5833333333333334,0,15,4,0.1410699346798322,0.012348090298473835
11,1,22-c,2,1,"[6, 7, 11, 12, 16, 19, 20, 22, 30, 60, 69, 70]",12,3-4,0.5833333333333334,0,15,4,2.113483565362704,0.10476081073284149
10,0,24-c,2,1,"[13, 14, 27, 28, 29, 41, 42, 54]",8,2-5,0.875,1,10,5,0.08709624346240381,0.007326703052967787
11,1,24-c,2,1,"[13, 14, 27, 28, 29, 41, 42, 54]",8,2-5,0.875,1,10,5,0.11711738998550601,0.013781478628516197
10,0,25-c,2,1,"[6, 17, 18, 22, 34, 36]",6,2-3,0.8333333333333334,0,8,3,0.0544768689445044,0.006014077924191952
11,1,25-c,2,1,"[6, 17, 18, 22, 34, 36]",6,2-3,0.8333333333333334,0,8,3,0.06781427467511127,0.010763882659375668
10,0,26-c,2,1,"[14, 24, 25, 43, 52, 65]",6,1-2,0.5,0,7,2,0.07649911058729518,0.006127939093858004
11,1,26-c,2,1,"[14, 24, 25, 43, 52, 65]",6,1-2,0.5,0,7,2,0.08883545299190587,0.010983570478856564
10,0,27-c,2,1,"[6, 17, 18, 22, 34, 36, 38]",7,2-3,0.7142857142857143,0,9,3,0.07396502900291518,0.0071991365402936935
11,1,27-c,2,1,"[6, 17, 18, 22, 34, 36, 38]",7,2-3,0.7142857142857143,0,9,3,0.0809990974087287,0.011783512309193611
10,0,28-c,2,1,"[17, 18, 22, 36, 38, 44, 62]",7,2-1,0.42857142857142855,1,9,1,0.11772366432734364,0.011021694168448448
11,1,28-c,2,1,"[17, 18, 22, 36, 38, 44, 62]",7,2-1,0.42857142857142855,1,9,1,0.14639187261010872,0.016636855900287628
10,0,29-c,2,1,"[9, 11, 12, 16, 19, 21, 30, 60]",8,2-2,0.5,0,10,2,0.1858900846126351,0.01839437335729599
11,1,29-c,2,1,"[9, 11, 12, 16, 19, 21, 30, 60]",8,2-2,0.5,0,10,2,0.2152460510362368,0.025285951793193817
10,0,0-c,1,2,"[17, 18, 19]",3,1-0,0.3333333333333333,0,4,0,0.05907069503617993,0.012730210088193417
11,1,0-c,1,2,"[17, 18, 19]",3,1-0,0.3333333333333333,0,4,0,0.06742154210996758,0.01749987155199051
10,0,1-c,1,2,"[12, 13, 17, 18, 19]",5,1-0,0.2,0,6,0,0.05854262781430752,0.013658514246344566
11,1,1-c,1,2,"[12, 13, 17, 18, 19]",5,1-0,0.2,0,6,0,0.06952906242340885,0.019652429968118668
10,0,2-c,1,2,"[1, 5, 6, 7, 14, 15, 20]",7,1-0,0.14285714285714285,0,8,0,0.03876813041835275,0.008132624439895153
11,1,2-c,1,2,"[1, 5, 6, 7, 14, 15, 20]",7,1-0,0.14285714285714285,0,8,0,0.051887301048115154,0.014045539312064648
10,0,3-c,1,2,"[3, 4]",2,1-1,1.0,0,3,1,0.05863646101240865,0.007965687662363052
11,1,3-c,1,2,"[3, 4]",2,1-1,1.0,0,3,1,0.06834952961849809,0.012267695739865303
10,0,4-c,1,2,"[3, 4, 12, 13]",4,1-1,0.5,0,5,1,0.1265375905466502,0.011757847853004932
11,1,4-c,1,2,"[3, 4, 12, 13]",4,1-1,0.5,0,5,1,0.14261010007912997,0.016767164692282677
10,0,5-c,1,2,"[7, 14]",2,1-2,1.5,0,3,2,0.07473818582641423,0.006574925035238266
11,1,5-c,1,2,"[7, 14]",2,1-2,1.5,0,3,2,0.08854940478142616,0.011289913207292557
10,0,6-c,1,2,"[5, 7, 14, 15]",4,1-2,0.75,0,5,2,0.1980143355764793,0.013488883152604103
11,1,6-c,1,2,"[5, 7, 14, 15]",4,1-2,0.75,0,5,2,0.2197958987529351,0.018609721213579178
10,0,7-c,1,2,"[8, 9, 10]",3,2-1,1.0,0,5,1,0.483433281405959,0.029537253081798553
11,1,7-c,1,2,"[8, 9, 10]",3,2-1,1.0,0,5,1,0.5318815803729487,0.03807532414793968
10,0,8-c,1,2,"[5, 6, 20]",3,1-0,0.3333333333333333,0,4,0,0.023879020125498793,0.00606196653097868
11,1,8-c,1,2,"[5, 6, 20]",3,1-0,0.3333333333333333,0,4,0,0.030255640758064507,0.010119402781128883
10,0,9-c,1,2,"[3, 4, 12, 13, 18]",5,1-2,0.6,0,6,2,0.31563763658142613,0.019365262240171432
11,1,9-c,1,2,"[3, 4, 12, 13, 18]",5,1-2,0.6,0,6,2,0.36060871603174904,0.02631397359073162
10,0,11-c,1,2,"[1, 5, 6, 7, 15]",5,1-2,0.6,0,6,2,0.10369202538495989,0.008534369058907032
11,1,11-c,1,2,"[1, 5, 6, 7, 15]",5,1-2,0.6,0,6,2,0.1272119664357698,0.014828421175479889
10,0,12-c,1,2,"[5, 6, 7, 20]",4,1-2,0.75,0,5,2,0.07674857427767165,0.0068481252528727055
11,1,12-c,1,2,"[5, 6, 7, 20]",4,1-2,0.75,0,5,2,0.0933430022117753,0.012815002351999283
10,0,13-c,1,2,"[12, 13, 18, 19]",4,1-1,0.5,0,5,1,0.3647267414987985,0.024366263300180435
11,1,13-c,1,2,"[12, 13, 18, 19]",4,1-1,0.5,0,5,1,0.3951121626234421,0.03078484907746315
10,0,15-c,1,2,"[1, 7, 14, 15]",4,1-1,0.5,0,5,1,0.05518985290139454,0.006387119647115469
11,1,15-c,1,2,"[1, 7, 14, 15]",4,1-1,0.5,0,5,1,0.06719299658555088,0.011422078125178814
10,0,16-c,1,2,"[8, 9, 21]",3,2-1,1.0,0,5,1,0.31099943523659923,0.025433683767914772
11,1,16-c,1,2,"[8, 9, 21]",3,2-1,1.0,0,5,1,0.35532181890833725,0.033016469329595566
10,0,17-c,1,2,"[3, 12, 13, 18, 19]",5,1-2,0.6,0,6,2,0.2970390031991168,0.018755177035927773
